Title,Writer(s),Length
"Intro (Skit)",Kanye West,0:19
"We Don't Care",West - Miri Ben-Ari - Ross Vannelli,3:59
"Graduation Day",West - John Stephens - Ben-Ari,1:22
"All Falls Down",West - Lauryn Hill,3:43
"I'll Fly Away",Albert E. Brumley,1:09
"Spaceship", West - Leonard Harris - Dexter Mills - Marvin Gaye - Gwen Gordy Fuqua - Sandra Greene,5:24
"Jesus Walks",West - Che Smith - Ben-Ari - Curtis Lundy,3:13
"Never Let Me Down",West - Shawn Carter - James Richardson - Michael Bolton - Bruce Kulick,5:24
"Get Em High",West - Talib Kweli Greene - Lonnie Rashid Lynn Jr.,4:49
"Workout Plan (Skit)",West,0:46
"The New Workout Plan",West - Stephens - Bosco Kante - Sumeke Rainey - Ben-Ari,5:22
"Slow Jamz",West - Carl Mitchell - Burt Bacharach - Hal David,5:16
"Breathe In Breathe Out",West - Brian Miller,4:06
"School Spirit (Skit 1)",West,1:18
"School Spirit",West - Aretha Franklin,3:02
"School Spirit (Skit 2)",West,0:43
"Lil Jimmy (Skit)",West,0:53
"Two Words",West - Dante Smith - Leslie Pridgen - Lou Wilson - Ric Wilson - Carlos Wilson,4:26
"Through the Wire",West - David Foster - Tom Keane - Cynthia Weil,3:41
"Family Business",West,4:38
"Last Call",West - Michael Perretta - Williams - Ken Lewis,12:40
