Title,Writer(s),Length
Marry the Night,"Lady Gaga, Fernando Garibay",4:25
Born this Way,"Lady Gaga, Jeppe Laursen",4:20
Government Hooker,"Lady Gaga, Fernando Garibay, Paul Blair",4:14
Judas,"Lady Gaga, RedOne",4:09
Americano,"Lady Gaga, Fernando Garibay, Paul Blair, Brian Lee",4:07
Hair,"Lady Gaga, RedOne",5:08
Scheiße,"Lady Gaga, Redone",3:46
Bloody Marry,"Lady Gaga, Fernando Garibay, RedOne",4:05
Bad Kids,"Lady Gaga, Jeppe Laursen, Fernando Garibay, Paul Blair",3:51
Highway Unicorn (Roat to Love),"Lady Gaga, Fernando Garibay, Paul Blair, RedOne",4:16
Heavy Metal Lover,"Lady Gaga, Fernando Garibay",4:13
Electric Chapel,"Lady Gaga, Paul Blair",4:12
You and I,Lady Gaga,5:07
The Edge of Glory,"Lady Gaga, Fernando Garibay, Paul Blair",5:21
