Title,Writer(s),Length
Diamond Heart,"Lady Gaga, Mark Ronson, Josh Homme",3:30
A-Yo,"Lady Gaga, Mark Ronson, Michael Tucker, Hillary Lindsey",3:28
Joanne,"Lady Gaga, Mark Ronson",3:17
John Wayne,"Lady Gaga, Mark Ronson, Michael Tucker, Josh Homme",2:54
Dancin' in Circles,"Lady Gaga, Mark Ronson, Michael Tucker, Beck Hansen",3:27
Perfect Illusion,"Lady Gaga, Mark Ronson, Michael Tucker, Kevin Parker",3:02
Million Reasons,"Lady Gaga, Mark Ronson, Hillary Lindsey",3:25
Sinner's Prayer,"Lady Gaga, Mark Ronson, Thomas Brenneck, Josh Tillman",3:43
Come to Mama,"Lady Gaga, Josh Tillman, Emlie Haynie",4:15
Hey Girl (featuring Florence Welch),"Lady Gaga, Mark Ronson, Florence Welch",4:15
Angel Down,"Lady Gaga, Nadir Khayat",3:49
