Title,Writer(s),Lead vocals,Length
"""Bad""",Michael Jackson,,4:08
"""The Way You Make Me Feel""",Michael Jackson,,4:56
"""Speed Demon""",Michael Jackson,,4:03
"""Liberian Girl""",Michael Jackson,,3:55
"""Just Good Friends""",Terry Britten - Graham Lyle,,4:09
"""Another Part of Me""",Michael Jackson,,3:55
"""Man in the Mirror""Ê",Siedah Garrett - Glen Ballard,,5:21
"""I Just Can't Stop Loving You""",Michael Jackson - Siedah Garrett,,4:27
"""Dirty Diana""",Michael Jackson,,4:42
" ""Smooth Criminal""",Michael Jackson,,4:20
"""Leave Me Alone""",Michael Jackson,,4:41
