Title,Writer(s),Lead vocals,Length
"I Saw Her Standing There",Lennon-McCartney,McCartney,2:55
"Misery",Lennon-McCartney,Lennon with McCartney,1:49
"Anna (Go to Him)",Arthur Alexander,Lennon,2:55
"Chains",Gerry Goffin - Carole King,Harrison,2:23
"Boys",Luther Dixon - Wes Farrell,Starr,2:24
"Ask Me Why",Lennon-McCartney,Lennon,2:24
"Please Please Me",Lennon-McCartney,Lennon with McCartney,1:59
"Love Me Do",Lennon-McCartney,McCartney with Lennon,2:21
"P.S. I Love You",Lennon-McCartney,McCartney,2:04
"Baby It's You",Mack David - Barney Williams - Burt Bacharach,Lennon,2:40
"Do You Want to Know a Secret",Lennon-McCartney,Harrison,1:56
"A Taste of Honey",Bobby Scott - Ric Marlow,McCartney,2:03
"There's a Place",Lennon-McCartney,Lennon and McCartney,1:51
"Twist and Shout",Phil Medley - Bert Russell,Lennon,2:32
