Title,Writer(s),Lead vocals,Length
"""We Will Rock You""",Brian May,,2:01
"""We Are the Champions""",Freddie Mercury,,2:59
"""Sheer Heart Attack""",Roger Taylor,Mercury and Roger Taylor,3:26
"""All Dead, All Dead""",May,Brian May,3:10
"""Spread Your Wings""",John Deacon,,4:24
"""Fight from the Inside""",Taylor,Taylor,3:03
"""Get Down, Make Love""",Mercury,,3:51
" ""Sleeping on the Sidewalk""",May,May,3:06
"""Who Needs You""",Deacon,,3:05
"""It's Late""",May,,6:26
" ""My Melancholy Blues""",Mercury,,3:29
