Title,Writer(s),Lead vocals,Length
"SgPepper's Lonely Hearts Club Band",Lennon–McCartney,McCartney,2:00
"With a Little Help from My Friends",Lennon–McCartney,Starr,2:42
"Lucy in the Sky with Diamonds",Lennon–McCartney,Lennon,3:28
"Getting Better",Lennon–McCartney,McCartney with Lennon,2:48
"Fixing a Hole",Lennon–McCartney,McCartney,2:36
"She's Leaving Home",Lennon–McCartney,McCartney with Lennon,3:25
"Being for the Benefit of Mr. Kite!",Lennon–McCartney,Lennon,2:37
"Within You Without You",George Harrison,Harrison,5:05
"When I'm Sixty-Four",Lennon–McCartney,McCartney,2:37
"Lovely Rita",Lennon–McCartney,McCartney,2:42
"Good Morning Good Morning",Lennon–McCartney,Lennon,2:42
"SgPepper's Lonely Hearts Club Band (Reprise)",Lennon–McCartney,Lennon - McCartney - Harrison and Starr,1:18
"A Day in the Life",Lennon–McCartney,Lennon with McCartney,5:38
