Title,Writer(s),Producer(s),Length
"On Sight",Kanye West - Guy-Manuel de Homem-Christo - Thomas Bangalter - Malik Jones - Che Smith - Elon Rutberg - Cydel Young - Derek Watkins - Mike Dean,West - Daft Punk - Dean - Benji B,2:36
"Black Skinhead",West - de Homem-Christo - Bangalter - Jones - Young - Rutberg - Wasalu Muhammad Jaco - Sakiya Sandifer - Dean - Watkins,West - Daft Punk - Gesaffelstein - Brodinski - Dean - Lupe Fiasco - Jack Donoghue - Noah Goldstein,3:08
"I Am a God",West - de Homem-Christo - Bangalter - Ross Birchard - Justin Vernon - Jones - Smith - Rutberg - Young - Dean - Watkins - Clifton Bailey - Harvel Hart - Anand Bakshi - Rahul Burman,West - Dean - Daft Punk - Hudson Mohawke,3:51
"New Slaves",West - Christopher Breaux - Young - Ben Bronfman - Jones - Smith - Rutberg - Sandifer - Louis Johnson - Dean - Gabor Presser - Anna Adamis,West - Bronfman - Dean - Travis Scott - Goldstein - Shama Joseph - Che Pope,4:16
"Hold My Liquor",West - Dean - Vernon - Keith Cozart - Rutberg - Smith - Jones - Alejandro Ghersi - Young - Watkins,Dean - West - Arca - Goldstein,5:26
"I'm In It",West - Vernon - Jeffrey Ethan Campbell - Josh Leary - Jones - Young - Sandifer - Rutberg - Dean - Andre Harris - Jill Scott - Vidal Davis - Carvin Haggins - Kenny Lattimore,West - Evian Christ - Dom Solo - Goldstein - Arca - Dean,3:54
"Blood on the Leaves",West - Birchard - Rutberg - Jones - Tony Williams - Young - Dean - Lewis Allen,West - Hudson Mohawke - Lunice - Carlos Broady - 88-Keys - Dean - Arca,6:00
"Guilt Trip",West - Scott Mescudi - Young - Dean - Larry Griffin Jr. - Keith Elam - Kevin Hansford - Dupre Kelly - Chris Martin - Al-Terik Wardrick - Marlon Williams - Terrence Thornton - Tyree Pittman,West - Dean - S1 - Travis Scott - Ackee Juice Rockers,4:03
"Send It Up",West - Johnson - de Homem-Christo - Bangalter - Ghersi - Mike Levy - Sandifer - Ab Liva - Rutberg - Dean - Moses Davis - Colin York - Lowell Dunbar,West - Daft Punk - Gesaffelstein - Brodinski - Arca - Dean,2:58
"Bound 2",West - John Stephens - Charles Wilson - Pope - Rutberg - Young - Jones - Sandifer - Dean - Norman Whiteside - Bob Massey - Robert Dukes - Ronnie Self,West - Pope - Eric Danchick - Goldstein - No I.D. - Dean,3:49
