"Year","Rank","Song Title","Artist(s)","Lyrics","URL"
"1946","1","Prisoner of Love","Perry Como","Alone from night to night you'll find me\\n\nToo weak to break the chains that bind me\\n\nI need no shackles to remind me\\n\nI'm just a prisoner of love\\n\n\\n\nFor one command I stand and wait now\\n\nFrom one who's master of my fate now\\n\nI can't escape for it's too late now\\n\nI'm just a prisoner of love\\n\n\\n\nWhat's the good of my caring\\n\nIf someone is sharing those arms with me\\n\nAlthough she has another\\n\nI can't have another, for I'm not free\\n\n\\n\nShe's in my dreams awake or sleeping\\n\nUpon my knees to her I'm creeping\\n\nMy very life is in her keeping\\n\nI'm just a prisoner of love\\n\n\\n\nWhat's the good of my caring\\n\nIf someone is sharing those arms with me\\n\nAlthough she has another\\n\nI can't have another, for I'm not free\\n\n\\n\nShe's in my dreams awake or sleeping\\n\nUpon my knees to her I'm creeping\\n\nMy very life is in her keeping\\n\nI'm just a prisoner of love\n\n\\n\\n","http://azlyrics.com/lyrics/perrycomo/prisoneroflove.html"
"1946","2","To Each His Own","Eddy Howard","","http://azlyrics.com/lyrics/eddyhoward/toeachhisown.html"
"1946","3","The Gypsy","Ink Spots","","http://azlyrics.com/lyrics/inkspots/thegypsy.html"
"1946","4","Five Minutes More","Frank Sinatra","Dear, this evening seemed to go so awfully fast\\n\nWe had so much fun and now you're home at last\\n\nI look forward to a kiss or two at the garden gate\\n\nBut she gave me just a peck and insisted it was late\\n\n\\n\nGive me five minutes more, only five minutes more\\n\nLet me stay, let me stay in your arms\\n\nHere am I, begging for only five minutes more\\n\nOnly five minutes more of your charms\\n\n\\n\nAll week long I dreamed about our Saturday date\\n\nDon't you know that Sunday morning you can sleep late?\\n\nGive me five minutes more, only five minutes more\\n\nLet me stay, let me stay in your arms\\n\n\\n\nAll week long I dreamed about our Saturday date\\n\nDon't you know that Sunday morning you can sleep late?\\n\nGive me five minutes more, only five minutes more\\n\nLet me stay, let me stay in your arms\\n\n\\n\nAh, come on\n\n\\n\\n","http://azlyrics.com/lyrics/franksinatra/fiveminutesmore.html"
"1946","5","Rumors Are Flying","Frankie Carle","","http://azlyrics.com/lyrics/frankiecarle/rumorsareflying.html"
"1946","6","Oh! What It Seemed to Be","Frankie Carle","","http://azlyrics.com/lyrics/frankiecarle/ohwhatitseemedtobe.html"
"1946","7","Personality","Johnny Mercer and The Pied Pipers","","http://azlyrics.com/lyrics/johnnymercerandthepiedpipers/personality.html"
"1946","8","South America, Take It Away","Bing Crosby and The Andrews Sisters","","http://azlyrics.com/lyrics/bingcrosbyandtheandrewssisters/southamericatakeitaway.html"
"1946","9","The Gypsy","Dinah Shore","","http://azlyrics.com/lyrics/dinahshore/thegypsy.html"
"1946","10","Oh! What It Seemed to Be","Frank Sinatra","It was just a neighborhood dance\\n\nThat's all that it was\\n\nBut, oh, what it seemed to be\\n\nIt was like a masquerade ball\\n\nWith costumes and all\\n\n'Cause you were at the dance with me\\n\nIt was just a ride on a train\\n\nThat's all that it was\\n\nBut, oh, what it seemed to be\\n\nIt was like a trip to the stars\\n\nTo Venus and Mars\\n\n'Cause you were on the train with me\\n\nAnd when I kissed you, darling\\n\nIt was more than just a thrill for me\\n\nIt was the promise, darling\\n\nOf the things that fate had willed for me\\n\nIt was just a wedding in June\\n\nThat's all that it was\\n\nBut, oh, what it seemed to be\\n\nIt was like a royal affair\\n\nWith everyone there\\n\n'Cause you said \""Yes, I do\"" to me\n\n\\n\\n","http://azlyrics.com/lyrics/franksinatra/ohwhatitseemedtobe.html"
