Title,Writer(s),Lead vocals,Length
"""With a Child's Heart""",Sylvia Moy - Henry Cosby -Vicki Basemore,,3:34
"""Up Again""",Freddie Perren - Christine Yarian,,2:47
"""All the Things You Are""",Oscar Hammerstein II - Jerome Kern,,2:55
"""Happy""",Michel Legrand - Smokey Robinson,,3:19
"""Too Young""",Sidney Lippman - Sylvia Dee,,3:37
"""Doggin' Around""",Lena Agree,,2:52
"""Euphoria""",Leon Ware,,2:48
"""Morning Glow""",Stephen Schwartz,,3:36
"""Johnny Raven""",Billy Page,,3:31
"""Music and Me""",Jerry Marcellino - Mel Larson - Don Fenceton - Mike Cannon,,2:35
