"Year","Rank","Song Title","Artist(s)"
"01/04/1992","1","Black Or White","Michael Jackson"
"01/11/1992","1","Black Or White","Michael Jackson"
"01/18/1992","1","Black Or White","Michael Jackson"
"01/25/1992","4","Black Or White","Michael Jackson"
"01/25/1992","53","Remember The Time","Michael Jackson"
"02/01/1992","9","Black Or White","Michael Jackson"
"02/01/1992","20","Remember The Time","Michael Jackson"
"02/08/1992","13","Remember The Time","Michael Jackson"
"02/08/1992","15","Black Or White","Michael Jackson"
"02/15/1992","8","Remember The Time","Michael Jackson"
"02/15/1992","20","Black Or White","Michael Jackson"
"02/22/1992","5","Remember The Time","Michael Jackson"
"02/22/1992","29","Black Or White","Michael Jackson"
"02/29/1992","4","Remember The Time","Michael Jackson"
"02/29/1992","35","Black Or White","Michael Jackson"
"03/07/1992","3","Remember The Time","Michael Jackson"
"03/07/1992","52","Black Or White","Michael Jackson"
"03/14/1992","3","Remember The Time","Michael Jackson"
"03/14/1992","61","Black Or White","Michael Jackson"
"03/21/1992","4","Remember The Time","Michael Jackson"
"03/21/1992","71","Black Or White","Michael Jackson"
"03/21/1992","81","Bohemian Rhapsody","Queen"
"03/28/1992","3","Remember The Time","Michael Jackson"
"03/28/1992","49","Bohemian Rhapsody","Queen"
"03/28/1992","75","Black Or White","Michael Jackson"
"04/04/1992","3","Remember The Time","Michael Jackson"
"04/04/1992","24","Bohemian Rhapsody","Queen"
"04/04/1992","83","Black Or White","Michael Jackson"
"04/11/1992","4","Remember The Time","Michael Jackson"
"04/11/1992","10","Bohemian Rhapsody","Queen"
"04/18/1992","4","Bohemian Rhapsody","Queen"
"04/18/1992","11","Remember The Time","Michael Jackson"
"04/25/1992","4","Bohemian Rhapsody","Queen"
"04/25/1992","16","Remember The Time","Michael Jackson"
"04/25/1992","46","In The Closet","Michael Jackson"
"05/02/1992","4","Bohemian Rhapsody","Queen"
"05/02/1992","23","Remember The Time","Michael Jackson"
"05/02/1992","26","In The Closet","Michael Jackson"
"05/09/1992","2","Bohemian Rhapsody","Queen"
"05/09/1992","14","In The Closet","Michael Jackson"
"05/09/1992","27","Remember The Time","Michael Jackson"
"05/16/1992","3","Bohemian Rhapsody","Queen"
"05/16/1992","12","In The Closet","Michael Jackson"
"05/16/1992","34","Remember The Time","Michael Jackson"
"05/23/1992","5","Bohemian Rhapsody","Queen"
"05/23/1992","10","In The Closet","Michael Jackson"
"05/23/1992","45","Remember The Time","Michael Jackson"
"05/30/1992","6","In The Closet","Michael Jackson"
"05/30/1992","9","Bohemian Rhapsody","Queen"
"05/30/1992","49","Remember The Time","Michael Jackson"
"06/06/1992","8","In The Closet","Michael Jackson"
"06/06/1992","16","Bohemian Rhapsody","Queen"
"06/06/1992","52","Remember The Time","Michael Jackson"
"06/13/1992","9","In The Closet","Michael Jackson"
"06/13/1992","22","Bohemian Rhapsody","Queen"
"06/20/1992","12","In The Closet","Michael Jackson"
"06/20/1992","28","Bohemian Rhapsody","Queen"
"06/27/1992","15","In The Closet","Michael Jackson"
"06/27/1992","35","Bohemian Rhapsody","Queen"
"07/04/1992","22","In The Closet","Michael Jackson"
"07/04/1992","43","Bohemian Rhapsody","Queen"
"07/11/1992","35","In The Closet","Michael Jackson"
"07/11/1992","47","Bohemian Rhapsody","Queen"
"07/11/1992","64","Jam","Michael Jackson"
"07/11/1992","87","We Are The Champions","Queen"
"07/18/1992","35","Jam","Michael Jackson"
"07/18/1992","44","In The Closet","Michael Jackson"
"07/18/1992","87","We Are The Champions","Queen"
"07/25/1992","31","Jam","Michael Jackson"
"07/25/1992","56","In The Closet","Michael Jackson"
"07/25/1992","78","We Are The Champions","Queen"
"08/01/1992","27","Jam","Michael Jackson"
"08/01/1992","54","We Are The Champions","Queen"
"08/01/1992","65","In The Closet","Michael Jackson"
"08/08/1992","26","Jam","Michael Jackson"
"08/08/1992","52","We Are The Champions","Queen"
"08/08/1992","68","In The Closet","Michael Jackson"
"08/15/1992","26","Jam","Michael Jackson"
"08/15/1992","52","We Are The Champions","Queen"
"08/15/1992","79","In The Closet","Michael Jackson"
"08/22/1992","26","Jam","Michael Jackson"
"08/22/1992","57","We Are The Champions","Queen"
"08/22/1992","88","In The Closet","Michael Jackson"
"08/29/1992","28","Jam","Michael Jackson"
"08/29/1992","58","We Are The Champions","Queen"
"08/29/1992","90","In The Closet","Michael Jackson"
"09/05/1992","29","Jam","Michael Jackson"
"09/05/1992","65","We Are The Champions","Queen"
"09/05/1992","100","In The Closet","Michael Jackson"
"09/12/1992","39","Jam","Michael Jackson"
"09/12/1992","70","We Are The Champions","Queen"
"09/19/1992","59","Jam","Michael Jackson"
"09/19/1992","77","We Are The Champions","Queen"
"09/26/1992","73","Jam","Michael Jackson"
"09/26/1992","86","We Are The Champions","Queen"
"10/03/1992","87","Jam","Michael Jackson"
"10/03/1992","90","We Are The Champions","Queen"
"10/10/1992","96","Jam","Michael Jackson"
"10/10/1992","99","We Are The Champions","Queen"
"12/12/1992","74","Heal The World","Michael Jackson"
"12/19/1992","62","Heal The World","Michael Jackson"
"12/26/1992","54","Heal The World","Michael Jackson"
