"Year","Rank","Song Title","Artist(s)"
"01/02/1982","31","Under Pressure","Queen & David Bowie"
"01/09/1982","29","Under Pressure","Queen & David Bowie"
"01/16/1982","29","Under Pressure","Queen & David Bowie"
"01/23/1982","32","Under Pressure","Queen & David Bowie"
"01/30/1982","41","Under Pressure","Queen & David Bowie"
"02/06/1982","53","Under Pressure","Queen & David Bowie"
"02/13/1982","97","Under Pressure","Queen & David Bowie"
"03/27/1982","70","The Beatles' Movie Medley","The Beatles"
"04/03/1982","50","The Beatles' Movie Medley","The Beatles"
"04/10/1982","34","The Beatles' Movie Medley","The Beatles"
"04/17/1982","22","The Beatles' Movie Medley","The Beatles"
"04/24/1982","17","The Beatles' Movie Medley","The Beatles"
"05/01/1982","14","The Beatles' Movie Medley","The Beatles"
"05/01/1982","78","Body Language","Queen"
"05/08/1982","12","The Beatles' Movie Medley","The Beatles"
"05/08/1982","62","Body Language","Queen"
"05/15/1982","12","The Beatles' Movie Medley","The Beatles"
"05/15/1982","33","Body Language","Queen"
"05/22/1982","12","The Beatles' Movie Medley","The Beatles"
"05/22/1982","25","Body Language","Queen"
"05/29/1982","20","The Beatles' Movie Medley","The Beatles"
"05/29/1982","21","Body Language","Queen"
"06/05/1982","17","Body Language","Queen"
"06/05/1982","92","The Beatles' Movie Medley","The Beatles"
"06/12/1982","12","Body Language","Queen"
"06/19/1982","11","Body Language","Queen"
"06/26/1982","11","Body Language","Queen"
"07/03/1982","28","Body Language","Queen"
"07/10/1982","56","Body Language","Queen"
"07/17/1982","61","Body Language","Queen"
"07/24/1982","77","Body Language","Queen"
"07/31/1982","83","Calling All Girls","Queen"
"07/31/1982","99","Body Language","Queen"
"08/07/1982","73","Calling All Girls","Queen"
"08/14/1982","68","Calling All Girls","Queen"
"08/21/1982","60","Calling All Girls","Queen"
"08/28/1982","60","Calling All Girls","Queen"
"09/04/1982","91","Calling All Girls","Queen"
"11/06/1982","45","The Girl Is Mine","Michael Jackson And Paul McCartney"
"11/13/1982","36","The Girl Is Mine","Michael Jackson And Paul McCartney"
"11/20/1982","14","The Girl Is Mine","Michael Jackson And Paul McCartney"
"11/27/1982","9","The Girl Is Mine","Michael Jackson And Paul McCartney"
"12/04/1982","8","The Girl Is Mine","Michael Jackson And Paul McCartney"
"12/11/1982","5","The Girl Is Mine","Michael Jackson And Paul McCartney"
"12/18/1982","4","The Girl Is Mine","Michael Jackson And Paul McCartney"
"12/25/1982","3","The Girl Is Mine","Michael Jackson And Paul McCartney"
