Year,Rank,Song Title,Artist,Album
8/16/08,76,Just Dance,Lady Gaga,The Fame Monster
8/23/08,87,Just Dance,Lady Gaga,The Fame Monster
9/6/08,74,Just Dance,Lady Gaga,The Fame Monster
9/13/08,79,Just Dance,Lady Gaga,The Fame Monster
9/20/08,80,Just Dance,Lady Gaga,The Fame Monster
9/27/08,75,Just Dance,Lady Gaga,The Fame Monster
10/4/08,73,Just Dance,Lady Gaga,The Fame Monster
10/11/08,67,Just Dance,Lady Gaga,The Fame Monster
10/18/08,66,Just Dance,Lady Gaga,The Fame Monster
10/25/08,60,Just Dance,Lady Gaga,The Fame Monster
11/1/08,59,Just Dance,Lady Gaga,The Fame Monster
11/8/08,49,Just Dance,Lady Gaga,The Fame Monster
11/15/08,27,Just Dance,Lady Gaga,The Fame Monster
11/22/08,21,Just Dance,Lady Gaga,The Fame Monster
11/29/08,16,Just Dance,Lady Gaga,The Fame Monster
12/6/08,7,Just Dance,Lady Gaga,The Fame Monster
12/13/08,5,Just Dance,Lady Gaga,The Fame Monster
12/20/08,4,Just Dance,Lady Gaga,The Fame Monster
12/27/08,3,Just Dance,Lady Gaga,The Fame Monster
1/3/09,3,Just Dance,Lady Gaga,The Fame Monster
1/3/09,92,Poker Face,Lady Gaga,The Fame Monster
1/10/09,2,Just Dance,Lady Gaga,The Fame Monster
1/10/09,81,Poker Face,Lady Gaga,The Fame Monster
1/17/09,1,Just Dance,Lady Gaga,The Fame Monster
1/17/09,83,Poker Face,Lady Gaga,The Fame Monster
1/24/09,1,Just Dance,Lady Gaga,The Fame Monster
1/24/09,72,Poker Face,Lady Gaga,The Fame Monster
1/31/09,1,Just Dance,Lady Gaga,The Fame Monster
1/31/09,48,Poker Face,Lady Gaga,The Fame Monster
2/7/09,2,Just Dance,Lady Gaga,The Fame Monster
2/7/09,32,Poker Face,Lady Gaga,The Fame Monster
2/14/09,4,Just Dance,Lady Gaga,The Fame Monster
2/14/09,23,Poker Face,Lady Gaga,The Fame Monster
2/21/09,3,Just Dance,Lady Gaga,The Fame Monster
2/21/09,12,Poker Face,Lady Gaga,The Fame Monster
2/28/09,5,Just Dance,Lady Gaga,The Fame Monster
2/28/09,10,Poker Face,Lady Gaga,The Fame Monster
3/7/09,6,Poker Face,Lady Gaga,The Fame Monster
3/7/09,7,Just Dance,Lady Gaga,The Fame Monster
3/14/09,3,Poker Face,Lady Gaga,The Fame Monster
3/14/09,7,Just Dance,Lady Gaga,The Fame Monster
3/21/09,3,Poker Face,Lady Gaga,The Fame Monster
3/21/09,7,Just Dance,Lady Gaga,The Fame Monster
3/21/09,96,LoveGame,Lady Gaga,The Fame Monster
3/28/09,3,Poker Face,Lady Gaga,The Fame Monster
3/28/09,10,Just Dance,Lady Gaga,The Fame Monster
4/4/09,2,Poker Face,Lady Gaga,The Fame Monster
